4.00,4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00,4.00
2.80,1.17,3.00,0.00,2.00
3.98,4.00,4.00,4.00,4.00
2.75,1.27,2.00,2.08,3.03
3.03,1.88,2.21,2.00,1.85
3.50,1.73,2.85,2.90,4.00
1.05,0.00,2.00,2.00,0.00
3.12,1.37,2.00,2.73,3.20
3.87,4.00,3.19,3.73,4.00
3.47,2.41,3.59,3.03,2.90
3.09,2.00,2.17,2.65,3.38
3.97,4.00,4.00,4.00,4.00
3.38,2.52,2.45,3.53,4.00
2.77,2.42,2.42,2.01,2.58
3.94,4.00,4.00,4.00,4.00
3.95,4.00,4.00,4.00,4.00
3.86,2.88,4.00,4.00,4.00
3.91,4.00,4.00,4.00,4.00
3.98,4.00,4.00,4.00,4.00
3.54,2.27,2.89,3.41,3.67
3.72,2.68,3.05,4.00,3.73
3.98,4.00,4.00,4.00,4.00
3.73,3.82,3.40,2.89,4.00
2.27,2.75,3.33,0.00,2.32
3.51,2.80,2.00,3.25,4.00
4.00,4.00,4.00,4.00,4.00
3.58,3.09,2.64,2.70,3.42
3.96,3.65,4.00,4.00,4.00
3.60,2.73,4.00,2.71,3.27
2.67,1.40,2.28,1.29,2.09
3.05,2.17,2.00,2.18,2.63
2.94,1.55,2.00,3.11,1.57
3.08,1.03,2.48,2.00,2.45
2.11,2.00,0.00,2.23,2.54
3.12,1.31,2.00,2.11,4.00
3.99,4.00,4.00,4.00,4.00
3.86,2.92,3.45,4.00,4.00
1.12,0.00,2.00,2.00,2.02
3.99,4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00,4.00
3.88,3.87,3.75,3.41,4.00
3.57,2.52,4.00,3.56,2.82
3.91,3.40,4.00,3.86,4.00
3.36,2.88,2.75,3.26,2.65
2.92,3.07,2.00,2.28,2.78
3.57,2.75,4.00,2.34,2.86
3.83,4.00,4.00,2.40,4.00
3.97,4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00,4.00
3.79,3.70,4.00,4.00,2.96
3.94,4.00,4.00,4.00,4.00
3.83,4.00,4.00,3.68,3.13
3.61,2.39,4.00,4.00,3.27
3.19,3.97,2.33,2.52,2.00
3.56,4.00,3.04,3.78,3.25
3.76,3.99,4.00,3.06,3.70
2.95,2.85,0.00,2.38,2.82
3.77,4.00,3.04,4.00,4.00
3.84,4.00,4.00,4.00,3.70
3.59,3.97,4.00,2.58,2.98
2.80,2.45,3.32,2.06,2.00
3.70,3.97,4.00,2.57,3.72
3.26,2.62,4.00,3.07,2.32
2.47,2.12,3.75,2.02,2.03
3.32,4.00,4.00,2.32,2.49
3.58,3.42,4.00,2.84,2.00
3.10,1.78,3.59,2.48,2.00
3.17,2.26,3.02,2.01,2.00
3.94,4.00,4.00,4.00,4.00
3.53,3.09,3.12,3.14,2.00
3.51,3.55,2.47,3.02,2.53
3.65,2.97,3.00,3.00,2.64
3.96,4.00,4.00,4.00,4.00
1.02,0.00,4.00,3.00,0.00
3.33,3.20,3.88,2.34,2.00
3.47,3.95,2.85,3.07,2.25
3.43,2.87,2.33,3.16,3.70
